model,category,brand,price
EliteBook,Laptop,HP,192079
ROG Strix,Laptop,ASUS,185059
TUF O2,Computer Mouse,Asus,4065
Galaxy O54,Smartphones,Samsung,54175
G,Laptop,Dell,56329
Redmi Note 7,Smartphones,Xiaomi,48220
Apex 0,Keyboard,Steelseries,3099
Professional M4,Computer Mouse,Lenovo,4580
Rog F8,Keyboard,Asus,1785
TUF H3,Computer Mouse,Asus,1459
ROG Strix,Laptop,ASUS,84110
Legion,Laptop,Lenovo,70869
Wireless A142,Computer Mouse,Logitech,490
ZenBook,Laptop,ASUS,184620
G257,Computer Mouse,Logitech,4030
ProBook,Laptop,HP,147460
Rog P0,Keyboard,Asus,620
ROG Strix,Laptop,ASUS,182659
Orochi V8,Computer Mouse,Razer,450
VivoBook,Laptop,ASUS,79389
TUF J4,Computer Mouse,Asus,2375
Redmi Note 3,Smartphones,Xiaomi,13895
TUF A5,Computer Mouse,Asus,4629
Galaxy X4 Ultra,Smartphones,Samsung,51990
iPhone Pro Max,Smartphones,Apple,74120
Lightspeed,Computer Mouse,Logitech,365
iPhone Pro,Smartphones,Apple,36179
Redmi Note 1,Smartphones,Xiaomi,11040
IdeaPad,Laptop,Lenovo,144019
Apex 8,Keyboard,Steelseries,489
Wireless C848,Computer Mouse,Logitech,460
Apex 6,Keyboard,Steelseries,459
VivoBook,Laptop,ASUS,158425
Legion,Laptop,Lenovo,139889
iPhone Pro Max,Smartphones,Apple,71899
Nova A0,Smartphones,Huawei,5855
Poco VZ3,Smartphones,Xiaomi,13620
Apex 8,Keyboard,Steelseries,2015
TUF H2,Computer Mouse,Asus,4019
Apex 3,Keyboard,Steelseries,415
Tartarus,Keyboard,Razer,4335
VivoBook,Laptop,ASUS,53365
Nova H9,Smartphones,Huawei,10180
TUF J8,Computer Mouse,Asus,610
Lightspeed,Computer Mouse,Logitech,2525
Apex 2,Keyboard,Steelseries,480
Rog O6,Keyboard,Asus,4710
iPhone Pro Max,Smartphones,Apple,25275
Tartarus,Keyboard,Razer,1310
Rog V8,Computer Mouse,Asus,1695
Apex 3,Keyboard,Steelseries,4625
ThinkPad,Laptop,Lenovo,98459
ThinkPad,Laptop,Lenovo,166155
Rog W8,Keyboard,Asus,480
Tartarus,Keyboard,Razer,4419
Professional E7,Computer Mouse,Lenovo,390
Latitude,Laptop,Dell,203069
Apex 2,Keyboard,Steelseries,1235
ThinkBook S4,Computer Mouse,Lenovo,2765
Orochi G0,Computer Mouse,Razer,4765
Redmi Note 7,Smartphones,Xiaomi,15999
Legion 30,Computer Mouse,Lenovo,1860
IdeaPad,Laptop,Lenovo,43359
Naga H3,Computer Mouse,Razer,4485
G697,Computer Mouse,Logitech,370
G282,Computer Mouse,Logitech,3310
IdeaPad,Laptop,Lenovo,32569
Orochi N5,Computer Mouse,Razer,1619
ProBook,Laptop,HP,180749
O17 Mechanical,Keyboard,Logitech,4585
IdeaPad,Laptop,Lenovo,40920
G,Laptop,Dell,185415
ThinkPad,Laptop,Lenovo,119359
VivoBook,Laptop,ASUS,227165
MacBook Air,Laptop,Apple,46075
Nova W9,Smartphones,Huawei,7730
Huntsman,Keyboard,Razer,7330
Rog F2,Keyboard,Asus,4379
TUF U2,Computer Mouse,Asus,3370
Latitude,Laptop,Dell,16959
iPhone,Smartphones,Apple,39320
TUF I0,Keyboard,Asus,2285
Craft Wireless,Keyboard,Logitech,4329
Rog U6,Keyboard,Asus,2235
Rog A0,Computer Mouse,Asus,990
Huntsman,Keyboard,Razer,7540
Huntsman,Keyboard,Razer,7355
iPhone Pro Max,Smartphones,Apple,74789
ProBook,Laptop,HP,179625
MacBook Air,Laptop,Apple,128670
Tartarus,Keyboard,Razer,5325
iPhone Pro,Smartphones,Apple,72920
ProBook,Laptop,HP,133090
M31 Mechanical,Keyboard,Logitech,4525
Wireless G331,Computer Mouse,Logitech,1910
Rog I0,Computer Mouse,Asus,1340
ThinkBook K7,Computer Mouse,Lenovo,2850
Redmi Note 7,Smartphones,Xiaomi,46060
Nova L4,Smartphones,Huawei,7885
Orochi T1,Computer Mouse,Razer,3849
